ticker,scorer,n_obs,coef_abs_sentiment,tstat_abs_sentiment,pvalue_abs_sentiment,coef_dispersion,tstat_dispersion,pvalue_dispersion,r_squared
AAPL,lexicon,732,0.0007199023113508475,0.9655271490790064,0.33428084450352136,0.0005773851172478906,0.611533988245706,0.5408461243901618,0.001272169729091277
AAPL,classifier,732,0.001557775466206287,1.780065317609341,0.0750652717290205,0.0009659030304833396,0.9476064092558311,0.3433298621103096,0.003582186777111196
MSFT,lexicon,702,-0.00016751074263884045,-0.20628687511188096,0.8365668302015036,-0.0004518822571461824,-0.41871877224270315,0.6754216746651176,0.0002552919319758207
MSFT,classifier,702,-0.0005023877802561698,-0.45683104320203183,0.647792491026848,-0.00041803076064386225,-0.3352099472893459,0.7374667188460731,0.00040678044849440376
TSLA,lexicon,739,-0.002508549504353164,-1.5998994599785064,0.10962088915933316,-0.0044192490102695665,-2.575521848618151,0.01000889496016515,0.008454857330138066
TSLA,classifier,739,-0.0012393843983379556,-0.769211914614256,0.4417675184900385,-0.004614376389414403,-2.5360958393037083,0.011209605145835326,0.007051771555967368
JPM,lexicon,701,0.0005289428737381296,0.7319549628667673,0.46419605717331713,0.0003992626457552573,0.3659353919717285,0.7144132862794657,0.0007737534225573661
JPM,classifier,701,-0.0006349341785226719,-0.6843725344497861,0.4937399548537409,-0.00015156171607265542,-0.12859459757458136,0.8976784413253693,0.000745551984841164
XOM,lexicon,709,-6.586273338085504e-06,-0.009958227515280851,0.9920546153318724,-0.0001999762621167681,-0.250367381926205,0.8023032519321361,8.829686141020865e-05
XOM,classifier,709,0.0011024388976726962,1.5362003552460883,0.12448924892391718,0.00033937289999752367,0.422605046132385,0.6725834443254999,0.0026109871070226776
